NO_OF_PEDESTRIANS,TIME (hh),DAY,RED_LIGHT_CAMERA,COLLISION_ID,LOCATION,LONGITUDE,LATITUDE,Year,MONTH,Date,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE
0,Afternoon,0,0,14-2889,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014759,45.46413024,2014,Mar,5,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-3394,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014744,45.46413877,2014,Mar,21,01 - Clear,01 - Daylight,02 - Wet,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,14-3788,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54011094,45.46414699,2014,Apr,1,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,02 - Non-fatal injury,02 - Angle
0,Afternoon,0,0,14-4057,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014773,45.46412171,2014,Apr,10,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-4227,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013561,45.46412161,2014,Apr,16,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-4234,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013561,45.46412161,2014,Apr,16,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,1,0,14-4302,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014759,45.46413024,2014,Apr,19,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-4320,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015956,45.46413887,2014,Mar,31,01 - Clear,01 - Daylight,02 - Wet,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,14-4833,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013547,45.46413014,2014,May,8,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,1,0,14-4896,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013547,45.46413014,2014,May,10,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-4962,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015348,45.46415183,2014,May,12,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-5217,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012349,45.46412151,2014,May,21,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-5291,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012364,45.46411298,2014,May,16,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,03 - Rear end
0,Afternoon,1,0,14-5363,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013547,45.46413014,2014,May,24,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-5755,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013532,45.46413866,2014,Jun,4,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-5880,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013561,45.46412161,2014,Jun,9,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-5929,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014773,45.46412171,2014,Jun,10,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-5938,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54011123,45.46412993,2014,Jun,10,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,14-6048,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013576,45.46411308,2014,Jun,12,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-6054,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013547,45.46413014,2014,Jun,13,02 - Rain,01 - Daylight,02 - Wet,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-6538,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014773,45.46412171,2014,Jun,27,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-6725,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014744,45.46413877,2014,Jul,3,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,1,0,14-7004,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014744,45.46413877,2014,Jul,12,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,14-7076,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013532,45.46413866,2014,Jul,9,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Evening,0,0,14-7149,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014759,45.46413024,2014,Jul,16,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-7161,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401232,45.46413856,2014,Jul,17,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-7170,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012306,45.46414709,2014,Jul,17,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-7371,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012349,45.46412151,2014,Jul,24,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-7386,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401232,45.46413856,2014,Jul,24,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-7522,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014744,45.46413877,2014,Jul,29,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,03 - Rear end
0,Afternoon,0,0,14-7601,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015942,45.4641474,2014,Jul,31,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Evening,0,0,14-7830,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013532,45.46413866,2014,Aug,7,01 - Clear,07 - Dark,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,14-8411,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401416,45.46412571,2014,Aug,25,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,1,0,14-8780,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014759,45.46413024,2014,Sep,6,02 - Rain,01 - Daylight,02 - Wet,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-8905,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54017139,45.46415603,2014,Sep,9,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-9071,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013532,45.46413866,2014,Sep,15,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-9145,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54012202,45.46414868,2014,Sep,16,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,14-9409,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014773,45.46412171,2014,Sep,24,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,14-9612,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014102,45.46416009,2014,Sep,30,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-9721,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013503,45.46415572,2014,Oct,3,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-9840,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015985,45.46412181,2014,Oct,6,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,0,0,14-10113,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54014715,45.46415582,2014,Oct,14,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Morning,0,0,14-10127,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016589,45.4641261,2014,Oct,15,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Morning,0,0,14-10240,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013503,45.46415572,2014,Oct,17,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
0,Afternoon,1,0,14-10317,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015331,45.46415164,2014,Oct,19,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,04 - Sideswipe
0,Afternoon,1,0,14-10570,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401536,45.46413454,2014,Oct,26,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,03 - P.D. only,02 - Angle
